,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
47,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - ad667c1e6e804ca98e6499024cb4b418,5,3,1,0.09494649999999183,84,2,1,1,1.0,0.126
48,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - f33d757e29394600a07324f019d71135,1,2,1,0.05953540000001567,90,1,0,0,1.0,1.0
49,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bce0b920376e466ea80c19a239c80c99,2,2,1,0.01971320000001242,24,1,0,0,1.0,0.089
50,QuantNaryTreeLearner_Teacher_Filter,PDFA - 124fcabc3f64413c865becd249d73e9e,105,80,1,27.717710599999975,11817,19,3,4,1.0,0.254
51,QuantNaryTreeLearner_Teacher_Filter,PDFA - 83654771c1114cafb612e26a62e2b14c,104,89,1,29.675786200000005,9948,24,3,4,1.0,0.363
52,QuantNaryTreeLearner_Teacher_Filter,PDFA - 7a384019103c4a01943198cbcef08a01,102,77,1,25.265887100000043,11979,17,2,3,1.0,0.207
53,QuantNaryTreeLearner_Teacher_Filter,PDFA - c5183cd3ff004e708147ae7db0418301,90,60,1,12.681135899999958,5622,13,3,4,0.999,0.226
54,QuantNaryTreeLearner_Teacher_Filter,PDFA - 60fa0c1ca5864255b0446f17abc676b5,100,90,1,28.076139600000033,7731,27,3,3,1.0,0.526
55,QuantNaryTreeLearner_Teacher_Filter,PDFA - 7d8e8099ea334f6885abf8fcf3522b10,100,79,1,37.45846240000003,14253,21,3,3,1.0,0.256
56,QuantNaryTreeLearner_Teacher_Filter,PDFA - 8e4f2bf41a7945e995c4ce6930fef37b,96,78,1,25.617469500000084,10653,18,2,4,1.0,0.26
57,QuantNaryTreeLearner_Teacher_Filter,PDFA - 8f00579501d649c895c098b51acea1bb,110,58,1,11.281024000000002,7440,11,2,3,1.0,0.122
58,QuantNaryTreeLearner_Teacher_Filter,PDFA - 98776dbb3bf641f79afd131c925e14f6,101,74,1,36.74212339999997,11091,20,3,3,0.999,0.393
59,QuantNaryTreeLearner_Teacher_Filter,PDFA - c08c65f764564c5d9add11e192084f75,98,89,1,34.543722799999955,15006,26,3,5,1.0,0.251
60,QuantNaryTreeLearner_Teacher_Filter,PDFA - 22a03c528c504baead1331b8a9071257,12,13,1,12.336889299999939,2565,2,1,1,1.0,0.527
61,QuantNaryTreeLearner_Teacher_Filter,PDFA - c5909833a8dc41058f3269d0785b7496,12,10,1,10.57338500000003,2547,2,1,1,1.0,0.538
62,QuantNaryTreeLearner_Teacher_Filter,PDFA - a842c777b9f14bed8be5d60b8491bc1c,11,11,1,6.7217423999999255,2793,4,2,3,1.0,0.292
63,QuantNaryTreeLearner_Teacher_Filter,PDFA - 7e208cd937534a36ad96c4a0a63ba3ef,12,13,1,8.92415410000001,2625,3,2,2,1.0,0.389
64,QuantNaryTreeLearner_Teacher_Filter,PDFA - a525b7132eb14a70975039c5dc65b251,10,11,1,13.204120999999986,2631,3,2,2,1.0,0.519
65,QuantNaryTreeLearner_Teacher_Filter,PDFA - 8d75279aee3a44cbb33e7f5b09892d51,13,14,1,15.906691799999862,2571,2,1,1,1.0,0.841
66,QuantNaryTreeLearner_Teacher_Filter,PDFA - 5ac23df5da4447cdb65dfaddf9b2d4f4,12,12,1,8.690929200000028,4770,3,2,2,1.0,0.137
67,QuantNaryTreeLearner_Teacher_Filter,PDFA - 28efc2e4d3c04becb26f9752f6bfc740,7,5,1,2.93761789999985,2517,2,1,1,1.0,0.123
68,QuantNaryTreeLearner_Teacher_Filter,PDFA - 3e04883d57bd446a8e5bee1d1feff984,9,5,1,14.233960600000046,2517,2,1,1,1.0,0.703
69,QuantNaryTreeLearner_Teacher_Filter,PDFA - 61495fab97e3487886ccb558d65710a5,11,12,1,11.714609800000062,3075,5,2,3,1.0,0.517
70,QuantNaryTreeLearner_Teacher_Filter,PDFA - d635261ae9b247419cca14f72b2af9b9,21,15,1,5.600246599999991,2874,5,2,3,1.0,0.183
71,QuantNaryTreeLearner_Teacher_Filter,PDFA - 14902f0e91aa4fb488986e05649480a1,19,15,1,7.794351400000096,3660,4,2,3,1.0,0.239
72,QuantNaryTreeLearner_Teacher_Filter,PDFA - 33ad40491f684982b7980eb3b30f47b0,17,6,1,3.422432699999945,2538,3,2,2,1.0,0.114
73,QuantNaryTreeLearner_Teacher_Filter,PDFA - c2cc0e4984734a51bc2d0cc0da3bb6bb,24,11,1,5.105024200000116,3546,5,2,2,1.0,0.149
74,QuantNaryTreeLearner_Teacher_Filter,PDFA - 120cfa4fdb2d47f9b42b205c8d71c4be,25,15,1,10.318417000000181,2649,3,2,2,1.0,0.37
75,QuantNaryTreeLearner_Teacher_Filter,PDFA - ac7881d64c1748eaba3f17fc2d16b06d,19,3,1,2.704478199999812,2505,2,1,1,1.0,0.089
76,QuantNaryTreeLearner_Teacher_Filter,PDFA - bb7215a9400249e8b8523d53289d2172,19,16,1,5.988597800000207,3453,3,2,2,1.0,0.166
77,QuantNaryTreeLearner_Teacher_Filter,PDFA - bb964c25bda643b59a2f52c34da071c7,19,15,1,6.743890400000055,3066,5,3,3,1.0,0.255
78,QuantNaryTreeLearner_Teacher_Filter,PDFA - 648a8b15349641f082391a62307c1a82,25,22,1,10.016645199999857,3525,6,2,3,1.0,0.314
79,QuantNaryTreeLearner_Teacher_Filter,PDFA - 260dc0be80454d549f5e7c9a008944dd,17,18,1,8.078381699999909,2784,6,3,3,1.0,0.267
